,freq,statinfo,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),sex,age,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
55,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EE,Estonia,2022,7.6
56,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EE,Estonia,2023,7.8
57,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EE,Estonia,2024,7.8
58,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EL,Greece,2013,7.2
59,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EL,Greece,2018,7.5
60,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EL,Greece,2021,7.5
61,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EL,Greece,2022,8.0
62,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EL,Greece,2023,7.8
63,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EL,Greece,2024,7.6
64,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,ES,Spain,2013,7.5
65,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,ES,Spain,2018,7.8
66,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,ES,Spain,2021,7.8
67,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,ES,Spain,2022,7.8
68,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,ES,Spain,2023,7.9
69,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,ES,Spain,2024,7.8
70,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EU27_2020,European Union - 27 countries (from 2020),2013,7.8
71,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EU27_2020,European Union - 27 countries (from 2020),2018,7.9
72,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EU27_2020,European Union - 27 countries (from 2020),2021,
73,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EU27_2020,European Union - 27 countries (from 2020),2022,7.7
74,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EU27_2020,European Union - 27 countries (from 2020),2023,7.8
75,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EU27_2020,European Union - 27 countries (from 2020),2024,7.7
76,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FI,Finland,2013,8.4
77,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FI,Finland,2018,8.4
78,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FI,Finland,2021,7.9
79,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FI,Finland,2022,8.0
80,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FI,Finland,2023,7.8
81,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FI,Finland,2024,7.9
82,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FR,France,2013,7.8
83,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FR,France,2018,8.0
84,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FR,France,2021,7.3
85,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FR,France,2022,7.9
86,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FR,France,2023,7.7
87,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,FR,France,2024,8.1
88,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HR,Croatia,2013,8.1
89,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HR,Croatia,2018,8.0
90,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HR,Croatia,2021,7.8
91,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HR,Croatia,2022,8.2
92,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HR,Croatia,2023,8.4
93,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HR,Croatia,2024,8.4
94,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HU,Hungary,2013,7.5
95,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HU,Hungary,2018,7.4
96,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HU,Hungary,2021,7.4
97,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HU,Hungary,2022,7.8
98,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HU,Hungary,2023,8.1
99,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,HU,Hungary,2024,8.1
100,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IE,Ireland,2013,6.6
101,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IE,Ireland,2018,
102,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IE,Ireland,2021,6.9
103,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IE,Ireland,2022,7.4
104,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IE,Ireland,2023,7.5
105,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IE,Ireland,2024,7.4
106,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IS,Iceland,2013,8.0
107,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IS,Iceland,2018,7.7
108,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IT,Italy,2013,7.4
109,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IT,Italy,2018,7.7
110,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IT,Italy,2021,7.8
111,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IT,Italy,2022,7.8
112,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IT,Italy,2023,7.6
113,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,IT,Italy,2024,7.5
114,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LT,Lithuania,2013,8.5
115,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LT,Lithuania,2018,8.0
116,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LT,Lithuania,2021,7.7
117,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LT,Lithuania,2022,7.9
118,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LT,Lithuania,2023,8.2
119,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LT,Lithuania,2024,8.2
120,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LU,Luxembourg,2013,7.9
121,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LU,Luxembourg,2018,7.8
122,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LU,Luxembourg,2021,7.4
123,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LU,Luxembourg,2022,7.9
124,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LU,Luxembourg,2023,7.3
125,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LU,Luxembourg,2024,7.7
126,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LV,Latvia,2013,7.6
127,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LV,Latvia,2018,7.8
128,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LV,Latvia,2021,7.3
129,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LV,Latvia,2022,7.8
130,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LV,Latvia,2023,7.5
131,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,LV,Latvia,2024,7.3
132,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,ME,Montenegro,2013,7.3
133,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,ME,Montenegro,2018,7.5
134,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,ME,Montenegro,2021,7.7
135,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,ME,Montenegro,2022,6.8
136,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,MK,North Macedonia,2013,
137,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,MK,North Macedonia,2018,7.3
138,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,MT,Malta,2013,
139,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,MT,Malta,2018,
140,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,MT,Malta,2021,
141,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,MT,Malta,2022,
142,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,MT,Malta,2023,
143,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,MT,Malta,2024,7.8
144,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NL,Netherlands,2013,8.2
145,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NL,Netherlands,2018,7.6
146,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NL,Netherlands,2021,7.9
147,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NL,Netherlands,2022,7.6
148,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NL,Netherlands,2023,7.1
149,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NL,Netherlands,2024,7.3
150,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NO,Norway,2013,8.1
151,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NO,Norway,2018,8.0
152,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NO,Norway,2021,7.6
153,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NO,Norway,2022,7.7
154,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NO,Norway,2023,7.9
155,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,NO,Norway,2024,7.6
156,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PL,Poland,2013,8.4
157,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PL,Poland,2018,8.5
158,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PL,Poland,2021,8.1
159,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PL,Poland,2022,8.0
160,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PL,Poland,2023,7.9
161,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PL,Poland,2024,7.9
162,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PT,Portugal,2013,8.1
163,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PT,Portugal,2018,8.5
164,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PT,Portugal,2021,
165,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PT,Portugal,2022,7.0
166,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PT,Portugal,2023,8.9
167,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,PT,Portugal,2024,7.4
168,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RO,Romania,2013,8.3
169,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RO,Romania,2018,8.2
170,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RO,Romania,2021,8.2
171,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RO,Romania,2022,8.2
172,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RO,Romania,2023,8.6
173,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RO,Romania,2024,8.3
174,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RS,Serbia,2013,6.7
175,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RS,Serbia,2018,7.3
176,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RS,Serbia,2021,7.3
177,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RS,Serbia,2022,7.2
178,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,RS,Serbia,2023,7.7
179,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SE,Sweden,2013,7.7
180,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SE,Sweden,2018,8.0
181,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SE,Sweden,2021,7.6
182,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SE,Sweden,2022,7.3
183,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SE,Sweden,2023,7.2
184,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SE,Sweden,2024,7.5
185,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SI,Slovenia,2013,7.8
186,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SI,Slovenia,2018,8.5
187,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SI,Slovenia,2021,
188,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SI,Slovenia,2022,8.5
189,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SI,Slovenia,2023,8.1
190,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SI,Slovenia,2024,8.6
191,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SK,Slovakia,2013,8.0
192,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SK,Slovakia,2018,8.3
193,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SK,Slovakia,2021,8.4
194,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SK,Slovakia,2022,7.8
195,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,SK,Slovakia,2023,8.3
