STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,PT,Portugal,2021,,31.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,PT,Portugal,2022,,29.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,PT,Portugal,2023,,30.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,PT,Portugal,2024,,28.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,RO,Romania,2021,,47.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,RO,Romania,2022,,47.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,RO,Romania,2023,,46.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,RO,Romania,2024,,40.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,RS,Serbia,2021,,35.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,RS,Serbia,2022,,35.0,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,RS,Serbia,2023,,34.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SE,Sweden,2021,,18.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SE,Sweden,2022,,21.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SE,Sweden,2023,,21.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SE,Sweden,2024,,22.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SI,Slovenia,2021,,24.6,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SI,Slovenia,2022,,24.6,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SI,Slovenia,2023,,22.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SI,Slovenia,2024,,23.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SK,Slovakia,2021,,27.0,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SK,Slovakia,2022,,27.0,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SK,Slovakia,2023,,29.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,SK,Slovakia,2024,,28.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,TR,Türkiye,2021,,33.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,TR,Türkiye,2022,,31.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,TR,Türkiye,2023,,31.8,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,TR,Türkiye,2024,,26.8,,,,,
